id,gatewayId,"containerTemperature1 - 10",containerTemperatureSensorId1,"containerTemperature2 - 10",containerTemperatureSensorId2,"containerTemperature3 - 10",containerTemperatureSensorId3,"humidityValue - 10","humidityTemperature - 10",humiditySensorId,hvacStateOn,"hvacStateValue - 10",hvacActuatorId,"currentClampValue - 10",currentClampSensorId,"externalTemperature - 10","externalTemperatureId - 10","parcelTemperature - 10",parcelTemperatureSensorId,timestamp
-1,GATEWAY,18.31,80_00_00_00_00_01,17.52,80_00_00_00_00_02,13.100000000000001,80_00_00_00_00_03,1.5500000000000007,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:17:44"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.52,80_00_00_00_00_02,13.100000000000001,80_00_00_00_00_03,1.5500000000000007,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:17:49"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.53,80_00_00_00_00_02,13.100000000000001,80_00_00_00_00_03,1.5500000000000007,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:17:54"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.53,80_00_00_00_00_02,13.100000000000001,80_00_00_00_00_03,1.5500000000000007,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:17:59"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.53,80_00_00_00_00_02,13.100000000000001,80_00_00_00_00_03,1.5500000000000007,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:04"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.53,80_00_00_00_00_02,13.100000000000001,80_00_00_00_00_03,1.5500000000000007,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:09"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.53,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5500000000000007,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:14"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.53,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5500000000000007,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:19"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.53,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5500000000000007,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:24"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.53,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5500000000000007,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:29"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.54,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:34"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.54,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:39"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.54,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:44"
-1,GATEWAY,18.31,80_00_00_00_00_01,17.54,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.83,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:49"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.54,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:54"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.54,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:18:59"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.54,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:04"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.54,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:09"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:14"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:20"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:24"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:29"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:34"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:39"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:44"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.55,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:49"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:54"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:19:59"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:04"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:09"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:14"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:19"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:24"
-1,GATEWAY,18.3,80_00_00_00_00_01,17.56,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:29"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.57,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:34"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.57,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:39"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.57,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:44"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.57,80_00_00_00_00_02,13.11,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:49"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.57,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:54"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.57,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:20:59"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.57,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:04"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.57,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:09"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.58,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:14"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.58,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:19"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.58,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:24"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.58,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:29"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.58,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:34"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.58,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:39"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.58,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:44"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.58,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:49"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.59,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:54"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.59,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:21:59"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.59,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:04"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.59,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:09"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.59,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:14"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.59,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:19"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.59,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:24"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.59,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.82,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:29"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.6,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:34"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.6,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:39"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.6,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:44"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.6,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:49"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.6,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:54"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.6,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:22:59"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.6,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:04"
-1,GATEWAY,18.29,80_00_00_00_00_01,17.6,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:09"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.61,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:14"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.61,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:19"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.61,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:24"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.61,80_00_00_00_00_02,13.120000000000001,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:29"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.61,80_00_00_00_00_02,13.129999999999999,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:34"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.61,80_00_00_00_00_02,13.129999999999999,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:39"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.61,80_00_00_00_00_02,13.129999999999999,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:44"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.61,80_00_00_00_00_02,13.129999999999999,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:49"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.62,80_00_00_00_00_02,13.129999999999999,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:54"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.62,80_00_00_00_00_02,13.129999999999999,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:23:59"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.62,80_00_00_00_00_02,13.129999999999999,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:24:04"
-1,GATEWAY,18.28,80_00_00_00_00_01,17.62,80_00_00_00_00_02,13.129999999999999,80_00_00_00_00_03,1.5600000000000005,-10,80_00_00_00_02_01,1,5,80_00_00_00_05_01,-5.81,80_00_00_00_03_01,25,70,15,80_00_00_00_01_01,"2014-07-10 11:24:09"
